"Date","Price","Open","High","Low","Vol.","Change %"
"11/18/2014","2,051.80","2,041.50","2,056.10","2,041.50","","0.51%"
"11/17/2014","2,041.30","2,038.30","2,043.10","2,034.50","","0.07%"
"11/14/2014","2,039.80","2,039.70","2,042.20","2,035.20","","0.02%"
"11/13/2014","2,039.30","2,039.20","2,046.20","2,030.40","","0.05%"
"11/12/2014","2,038.20","2,037.80","2,040.30","2,032.00","","-0.07%"
"11/11/2014","2,039.70","2,038.20","2,041.30","2,035.30","","0.07%"
"11/10/2014","2,038.30","2,032.00","2,038.70","2,030.20","","0.31%"
"11/07/2014","2,031.90","2,032.40","2,034.30","2,025.10","","0.03%"
"11/06/2014","2,031.20","2,023.30","2,031.60","2,015.90","","0.38%"
"11/05/2014","2,023.60","2,015.30","2,023.80","2,014.40","","0.57%"
"11/04/2014","2,012.10","2,015.80","2,016.00","2,001.00","","-0.28%"
"11/03/2014","2,017.80","2,018.20","2,024.50","2,013.70","","-0.01%"
"10/31/2014","2,018.00","2,001.20","2,018.20","2,001.20","","1.17%"
"10/30/2014","1,994.70","1,979.50","1,999.40","1,974.80","","0.63%"
"10/29/2014","1,982.30","1,983.30","1,991.40","1,969.00","","-0.14%"
"10/28/2014","1,985.00","1,964.10","1,985.00","1,964.10","","1.19%"
"10/27/2014","1,961.60","1,963.00","1,964.60","1,951.40","","-0.15%"
"10/24/2014","1,964.60","1,951.60","1,965.30","1,946.30","","0.71%"
"10/23/2014","1,950.80","1,931.00","1,962.00","1,931.00","","1.23%"
"10/22/2014","1,927.10","1,941.30","1,949.30","1,926.80","","-0.73%"
"10/21/2014","1,941.30","1,909.40","1,942.50","1,909.40","","1.96%"
"10/20/2014","1,904.00","1,885.60","1,905.00","1,882.30","","0.91%"
"10/17/2014","1,886.80","1,864.90","1,898.20","1,864.90","","1.29%"
"10/16/2014","1,862.80","1,856.00","1,876.00","1,835.00","","0.02%"
"10/15/2014","1,862.50","1,874.20","1,874.20","1,820.70","","-0.81%"
"10/14/2014","1,877.70","1,877.10","1,898.70","1,871.80","","0.16%"
"10/13/2014","1,874.70","1,905.70","1,912.10","1,874.10","","-1.65%"
"10/10/2014","1,906.10","1,925.60","1,937.00","1,906.00","","-1.15%"
"10/09/2014","1,928.20","1,967.70","1,967.70","1,927.60","","-2.07%"
"10/08/2014","1,968.90","1,935.50","1,970.40","1,925.20","","1.75%"
"10/07/2014","1,935.10","1,962.40","1,962.40","1,934.90","","-1.51%"
"10/06/2014","1,964.80","1,970.00","1,977.80","1,958.40","","-0.16%"
"10/03/2014","1,967.90","1,948.10","1,971.20","1,948.10","","1.11%"
"10/02/2014","1,946.20","1,945.80","1,952.30","1,926.00","","0.00%"
"10/01/2014","1,946.20","1,971.40","1,971.40","1,941.70","","-1.32%"
"09/30/2014","1,972.30","1,978.20","1,985.20","1,969.00","","-0.28%"
"09/29/2014","1,977.80","1,979.00","1,981.30","1,964.00","","-0.25%"
"09/26/2014","1,982.80","1,966.20","1,986.40","1,966.20","","0.85%"
"09/25/2014","1,966.00","1,997.30","1,997.30","1,966.00","","-1.62%"
"09/24/2014","1,998.30","1,983.30","1,999.80","1,978.60","","0.78%"
"09/23/2014","1,982.80","1,992.80","1,995.40","1,982.80","","-0.58%"
"09/22/2014","1,994.30","2,009.10","2,009.10","1,991.00","","-0.80%"
"09/19/2014","2,010.40","2,012.70","2,019.30","2,006.60","","-0.05%"
"09/18/2014","2,011.40","2,003.10","2,012.30","2,003.10","","0.49%"
"09/17/2014","2,001.60","1,999.30","2,010.70","1,993.30","","0.13%"
"09/16/2014","1,999.00","1,981.90","2,002.30","1,979.10","","0.75%"
"09/15/2014","1,984.10","1,986.00","1,987.20","1,978.50","","-0.07%"
"09/12/2014","1,985.50","1,996.70","1,996.70","1,980.30","","-0.60%"
"09/11/2014","1,997.50","1,992.80","1,997.70","1,985.90","","0.09%"
